PERIODO,ESTU_DEPTO_RESIDE,FAMI_ESTRATOVIVIENDA,FAMI_TIENEINTERNET,Estrato - Internet,PUNT_GLOBAL,Conteo
2018-01-01,CALDAS,Estrato 2,No,Estrato 2 - No,239.32301631963983,1777
2018-01-01,CALDAS,Estrato 2,Si,Estrato 2 - Si,258.2960073428178,2179
2018-01-01,CALDAS,Estrato 3,No,Estrato 3 - No,245.3587786259542,393
2018-01-01,CALDAS,Estrato 3,Si,Estrato 3 - Si,272.51614530776993,1982
2018-01-01,CALDAS,Sin Estrato,No,Sin Estrato - No,220.0,115
2018-01-01,CALDAS,Sin Estrato,Si,Sin Estrato - Si,214.28571428571428,42
2018-01-01,CAQUETA,Estrato 1,No,Estrato 1 - No,235.71516267648863,1629
2018-01-01,CAQUETA,Estrato 1,Si,Estrato 1 - Si,252.67724867724868,756
2018-01-01,CAQUETA,Estrato 2,No,Estrato 2 - No,234.74734607218684,471
2018-01-01,CAQUETA,Estrato 2,Si,Estrato 2 - Si,257.806640625,512
2018-01-01,CAQUETA,Estrato 3,No,Estrato 3 - No,220.12605042016807,119
2018-01-01,CAQUETA,Estrato 3,Si,Estrato 3 - Si,255.32954545454547,176
2018-01-01,CAQUETA,Sin Estrato,No,Sin Estrato - No,206.43055555555554,216
2018-01-01,CAQUETA,Sin Estrato,Si,Sin Estrato - Si,220.05128205128204,39
2018-01-01,CASANARE,Estrato 1,No,Estrato 1 - No,242.94820936639118,1815
2018-01-01,CASANARE,Estrato 1,Si,Estrato 1 - Si,254.96981132075473,795
2018-01-01,CASANARE,Estrato 2,No,Estrato 2 - No,248.79937304075236,957
2018-01-01,CASANARE,Estrato 2,Si,Estrato 2 - Si,263.3718592964824,1194
2018-01-01,CASANARE,Estrato 3,No,Estrato 3 - No,242.9090909090909,154
2018-01-01,CASANARE,Estrato 3,Si,Estrato 3 - Si,271.9737532808399,381
2018-01-01,CASANARE,Sin Estrato,No,Sin Estrato - No,219.83478260869566,115
2018-01-01,CASANARE,Sin Estrato,Si,Sin Estrato - Si,237.5,28
2018-01-01,CAUCA,Estrato 1,No,Estrato 1 - No,230.72170151405913,5548
2018-01-01,CAUCA,Estrato 1,Si,Estrato 1 - Si,246.7736143637783,1281
2018-01-01,CAUCA,Estrato 2,No,Estrato 2 - No,234.5506329113924,1738
2018-01-01,CAUCA,Estrato 2,Si,Estrato 2 - Si,260.0564005069709,1578
2018-01-01,CAUCA,Estrato 3,No,Estrato 3 - No,221.3598484848485,528
2018-01-01,CAUCA,Estrato 3,Si,Estrato 3 - Si,266.65084388185653,948
2018-01-01,CAUCA,Sin Estrato,No,Sin Estrato - No,209.57738095238096,840
2018-01-01,CAUCA,Sin Estrato,Si,Sin Estrato - Si,217.7479674796748,123
2018-01-01,CESAR,Estrato 1,No,Estrato 1 - No,234.56326870961018,4797
2018-01-01,CESAR,Estrato 1,Si,Estrato 1 - Si,248.81979558902637,1859
2018-01-01,CESAR,Estrato 2,No,Estrato 2 - No,236.1250936329588,1335
2018-01-01,CESAR,Estrato 2,Si,Estrato 2 - Si,256.9621975806452,1984
2018-01-01,CESAR,Estrato 3,No,Estrato 3 - No,225.58362989323842,281
2018-01-01,CESAR,Estrato 3,Si,Estrato 3 - Si,262.7865612648221,1012
2018-01-01,CESAR,Sin Estrato,No,Sin Estrato - No,212.25552825552825,407
2018-01-01,CESAR,Sin Estrato,Si,Sin Estrato - Si,222.03846153846155,78
2018-01-01,CHOCO,Estrato 1,No,Estrato 1 - No,211.83415666901905,1417
2018-01-01,CHOCO,Estrato 1,Si,Estrato 1 - Si,232.97163120567376,705
2018-01-01,CHOCO,Estrato 2,No,Estrato 2 - No,205.63783783783785,370
2018-01-01,CHOCO,Estrato 2,Si,Estrato 2 - Si,229.6791277258567,321
2018-01-01,CHOCO,Estrato 3,No,Estrato 3 - No,196.41150442477877,226
2018-01-01,CHOCO,Estrato 3,Si,Estrato 3 - Si,212.65680473372782,169
2018-01-01,CHOCO,Sin Estrato,No,Sin Estrato - No,189.19628647214853,377
2018-01-01,CHOCO,Sin Estrato,Si,Sin Estrato - Si,193.23275862068965,116
2018-01-01,CORDOBA,Estrato 1,No,Estrato 1 - No,238.07758328627895,8855
2018-01-01,CORDOBA,Estrato 1,Si,Estrato 1 - Si,260.22769753610874,2354
2018-01-01,CORDOBA,Estrato 2,No,Estrato 2 - No,236.00862068965517,2204
2018-01-01,CORDOBA,Estrato 2,Si,Estrato 2 - Si,266.74250888776027,1969
2018-01-01,CORDOBA,Estrato 3,No,Estrato 3 - No,221.4840579710145,690
2018-01-01,CORDOBA,Estrato 3,Si,Estrato 3 - Si,262.6470588235294,731
2018-01-01,CORDOBA,Sin Estrato,No,Sin Estrato - No,211.6749703440095,843
2018-01-01,CORDOBA,Sin Estrato,Si,Sin Estrato - Si,215.41935483870967,93
